,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
512,NueGo,850,,,Electric A/C Seater (2+2),23:00,05h 45m,04:45,
513,City Land Travels,1149,,,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:00,05h 30m,04:30,
514,Kartar Travels Private Limited,846,,,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,04h 45m,04:15,
515,Kartar Travels Private Limited,1530,,,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,05h 00m,04:30,
516,Ashok Bus Service,712,,,A/C Seater / Sleeper (2+2),23:55,05h 40m,05:35,
517,Ram Dalal Holidays,833,4.7,8 Seats available,Volvo A/C Semi Sleeper (2+2),21:40,04h 25m,02:05,Near bus stand
518,Laxmi holidays,854,4.0,25 Seats available,Volvo A/C Semi Sleeper (2+2),20:20,04h 55m,01:15,Hamirpur
519,Northern Travels,INR 795,5.0,25 Seats available,Volvo A/C Semi Sleeper (2+2),21:45,03h 30m,01:15,Hamirpur
520,Chandigarh Transport Undertaking (CTU) - 165907,INR 731.43,4.1,46 Seats available,HVAC Seater (2+3),17:00,11h 00m,04:00,AGRA Bus Teminal
521,Laxmi holidays,949,4.8,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:50,05h 30m,03:20,Bharat Petrol Pump
522,Laxmi holidays,949,4.8,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),18:30,06h 30m,01:00,Bharat Petrol Pump
523,Laxmi holidays,949,4.7,18 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),18:25,06h 35m,01:00,Dharamshala Bharat Petrol Pump
524,Laxmi holidays,949,4.8,27 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:45,05h 35m,03:20,Dharamshala Bharat Petrol Pump
525,Laxmi holidays,949,4.3,23 Seats available,VE A/C Semi Sleeper (2+2),19:00,04h 55m,23:55,Bharat Petrol Pump
526,Laxmi holidays,949,4.7,27 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:00,05h 35m,02:35,Bharat Petrol Pump
527,Laxmi holidays,949,4.9,44 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),20:00,06h 00m,02:00,dharamshala
528,Ram Dalal Holidays,805,4.7,20 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:30,05h 25m,01:55,Bharat Petrol Pump (Mann Fill...
529,Bedi Travels,720,4.8,29 Seats available,Volvo A/C Semi Sleeper (2+2 ),21:15,05h 30m,02:45,McLeod Ganj
530,Zingbus Plus,828,4.6,27 Seats available,Volvo A/C Semi Sleeper (2+2),19:30,05h 15m,00:45,Dharamshala
531,Raghukul Holidays,719,4.9,33 Seats available,Volvo A/C Semi Sleeper (2+2),19:00,05h 50m,00:50,Dharamshala
532,Raghukul Holidays,719,4.7,27 Seats available,Volvo A/C Semi Sleeper (2+2),21:00,06h 05m,03:05,Bharat Petrol Pump
533,Raghukul Holidays,719,4.8,33 Seats available,Volvo A/C Semi Sleeper (2+2),19:05,05h 45m,00:50,Dhramsala
534,Raghukul Holidays,719,4.5,15 Seats available,Volvo A/C Semi Sleeper (2+2),21:05,06h 00m,03:05,Dharamshala (Maximus Mall)
535,FlixBus,INR 907,4.6,17 Seats available,A/C Seater (2+2),18:00,06h 55m,00:55,Bharat Petrol Pump (Mann Fill...
536,Bedi Travels,765,4.7,23 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:00,06h 00m,01:00,Dharamshala Bharat Petrol Pump
537,Laxmi holidays,949,5.0,14 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),20:55,05h 40m,02:35,Dharamsala
538,Ram Dalal Holidays,759,3.9,31 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:48,05h 42m,01:30,Bharat Petrol Pump
539,Zingbus Plus,896,5.0,32 Seats available,Volvo A/C Semi Sleeper (2+2),19:35,05h 10m,00:45,Bharat Petrol Pump
540,Zingbus Plus,722,4.9,17 Seats available,Volvo Multi-Axle A/C Semisleeper (2+2),21:35,05h 10m,02:45,McleodGanj (Pick/Drop - Dhara...
541,Bedi Travels,765,4.0,44 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),18:45,06h 15m,01:00,Dharamsala
542,Ram Dalal Holidays,805,4.9,22 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:38,05h 17m,01:55,Bharat Petrol Pump
543,City Land Travels,689,4.8,14 Seats available,Volvo A/C Semi Sleeper (2+2),20:40,05h 40m,02:20,dharamshala
544,Ram Dalal Holidays,759,4.0,20 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),19:30,06h 00m,01:30,McleodGanj (Pick/Drop - Dhara...
545,Bedi Travels,720,3.1,27 Seats available,Volvo A/C Semi Sleeper (2+2 ),21:00,05h 45m,02:45,Dharamshala Bharat Petrol Pump
546,Laxmi holidays,949,2.9,32 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),19:55,06h 05m,02:00,McLeod Ganj
547,Zingbus Plus,728,1.8,22 Seats available,Volvo Multi-Axle A/C Semisleeper (2+2),21:30,05h 15m,02:45,Maan Filling Station Dharamshala
548,New Himalaya Travels,INR 700,3.6,22 Seats available,Volvo A/C Semi Sleeper (2+2),19:35,05h 40m,01:15,MANN FILLING STATION DHARAMSHALA
