,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
1185,Triptara tour & Travel,1100,3.5,29 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,10h 50m,07:20,Majnu Ka Tilla
1186,City Land Travels,1019,3.5,25 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,10h 00m,06:30,ISBT Kashmiri Gate
1187,City Land Travels,1019,4.0,25 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,10h 30m,07:00,ISBT Kashmiri Gate
1188,New Himalaya Travels,INR 1040,3.1,26 Seats available,Volvo A/C Semi Sleeper (2+2),21:15,10h 30m,07:45,Majnu Ka Tilla
1189,A N Holidays,949,4.2,19 Seats available,Bharat Benz A/C Semi Sleeper (2+2),19:30,11h 15m,07:15,Majnu Ka Tilla
1190,Raghukul Holidays,1259,3.5,37 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,10h 30m,07:00,Manju ka tila potala ground ...
1191,City Land Travels,850,3.0,12 Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:20,10h 30m,08:50,ISBT Kashmiri Gate
1192,Triptara tour & Travel,1100,4.5,29 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,11h 00m,07:30,Majnu Ka Tilla
1193,New Himalaya Travels,INR 1040,2.8,26 Seats available,Volvo A/C Semi Sleeper (2+2),21:15,10h 34m,07:49,Majnu Ka Tilla
1194,A N Holidays,949,2.2,19 Seats available,Bharat Benz A/C Semi Sleeper (2+2),19:30,10h 40m,06:40,Majnu Ka Tilla
1195,Raghukul Holidays,1259,1.3,37 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,11h 25m,07:55,Manju ka tila potala ground ...
1196,Asian's Shina Tour & Travels (Swoyambhu Manjushree Yatayat P. LTD),INR 999,3.6,45 Seats available,VE A/C Seater (2+2),19:45,10h 45m,06:30,Majnu Ka Tilla
1197,City Land Travels,1838,3.5,32 Seats available,Volvo A/C Semi Sleeper (2+2),22:30,10h 30m,09:00,Majnu Ka Tilla
1198,City Land Travels,1838,3.4,32 Seats available,Volvo A/C Semi Sleeper (2+2),22:30,10h 00m,08:30,Majnu Ka Tilla
1199,Raghukul Holidays,1079,3.8,23 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,10h 55m,06:55,Majnu ka tilla Potala Ground ...
1200,Raghukul Holidays,1079,2.8,23 Seats available,Volvo A/C Semi Sleeper (2+2),20:00,11h 00m,07:00,Majnu ka tilla Potala Ground ...
1201,Ram Dalal Holidays,962,,27 Seats available,Volvo A/C Semi Sleeper (2+2),22:45,10h 25m,09:10,Majnu Ka Tilla
1202,Northern Travels,INR 795,3.1,28 Seats available,Volvo A/C Semi Sleeper (2+2),23:00,06h 45m,05:45,Ghumarwin
1203,Chandigarh Transport Undertaking (CTU) - 165943,INR 512.39,4.4,31 Seats available,HVAC Seater (2+3),10:45,07h 00m,17:45,Sector 42 IndianOil Petrol Pump
1204,City Land Travels,938,3.6,12 Seats available,Bharat Benz (2+2),23:30,07h 00m,06:30,Tribune Chowk Sector 31B
1205,Laxmi holidays,1139,4.4,29 Seats available,VE A/C Semi Sleeper (2+2),23:50,05h 40m,05:30,Tribune Chowk Sector 31B
1206,Laxmi holidays,1139,4.6,29 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),23:55,05h 55m,05:50,Tribune Chowk Sector 31B
1207,Laxmi holidays,1139,4.6,19 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),23:55,05h 40m,05:35,Sohana Gurudwara chandigarh
1208,A N Holidays,949,3.9,31 Seats available,Bharat Benz A/C Semi Sleeper (2+2),23:59,07h 16m,07:15,Sector 42 IndianOil Petrol Pump
1209,City Land Travels,938,1.3,19 Seats available,Bharat Benz (2+2),23:30,06h 45m,06:15,Sohana Gurudwara chandigarh
1210,A N Holidays,949,2.4,,Bharat Benz A/C Semi Sleeper (2+2),23:59,06h 41m,06:40,
1211,KRISHNA TRANSPORT SHIMLA,640,2.7,,NON A/C Seater Push Back (2+2),08:30,08h 45m,17:15,
