,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
363,Suman sabir,INR 111,1.2,,Non AC Seater (2+3),13:30,02h 30m,16:00,
364,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 429,2.7,,Volvo A/C Seater (2+2),17:45,03h 00m,20:45,
365,Greenline,INR 429,2.3,,Volvo A/C Seater (2+2),18:10,02h 50m,21:00,
366,Shyamoli Paribahan Pvt Ltd,INR 429,2.7,,Volvo A/C Seater (2+2),19:15,02h 45m,22:00,
367,SBSTC-KOLKATA - LABPUR - VIA KIRNAHAR - 07:25 (HWH DEPOT - 1118,INR 150,4.2,,Non AC Seater (2+3),07:25,05h 30m,12:55,
368,SBSTC-KOLKATA - KIRNAHAR - 14:35 (BWN DEPOT) - 1047,INR 150,4.5,,Non AC Seater (2+3),14:35,05h 30m,20:05,
369,SBSTC-KOLKATA - LANGALHATA - 15:15 (BWN DEPOT) - 1849,INR 150,3.6,,Non AC Seater (2+3),15:15,05h 30m,20:45,
370,SBSTC-KOLKATA - LABPUR - 16:35 (HWH DEPOT) - 3238,INR 150,3.3,,Non AC Seater (2+3),16:35,05h 30m,22:05,
371,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.7,13 Seats available,Volvo A/C Seater (2+2),08:45,04h 00m,12:45,City Center Durgapur
372,Greenline (Karunamoyee),INR 486,4.7,38 Seats available,Volvo A/C Seater (2+2),12:00,03h 50m,15:50,City Center Durgapur
373,Express Line,INR 486,4.6,,Volvo A/C Seater (2+2),15:10,03h 50m,19:00,
374,Express Line,INR 486,4.7,,Volvo 9600 Multi Axle Semi-Sleeper (2+2),10:30,04h 00m,14:30,
375,Express Line (Karunamoyee),INR 486,4.8,,Scania Multi-Axle AC Semi Sleeper (2+2),14:20,03h 50m,18:10,
376,Greenline (Karunamoyee),INR 486,4.6,,Volvo A/C Seater (2+2),07:50,04h 00m,11:50,
377,Greenline (Karunamoyee),INR 486,4.6,,Volvo A/C Seater (2+2),10:00,04h 00m,14:00,
378,Express Line,INR 486,4.5,,Volvo A/C Seater (2+2),06:50,03h 10m,10:00,
379,Shyamoli Paribahan Pvt Ltd,INR 486,4.5,,Scania Multi-Axle AC Semi Sleeper (2+2),08:30,02h 40m,11:10,
380,Shyamoli Paribahan Pvt Ltd,INR 486,4.4,,Volvo A/C Seater (2+2),12:55,03h 50m,16:45,
381,Greenline,INR 486,4.5,,Volvo 9600 A/C Semi Sleeper (2+2),08:10,02h 50m,11:00,
382,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.3,,Volvo A/C Seater (2+2),13:45,04h 00m,17:45,
383,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.3,,Volvo A/C Seater (2+2),17:50,03h 45m,21:35,
384,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.2,,Volvo A/C Seater (2+2),16:00,04h 00m,20:00,
385,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.4,,Volvo B11R Multi Axle Seater (2+2),09:45,04h 00m,13:45,
386,Express Line,INR 486,4.5,,Volvo 9600 Multi Axle Semi-Sleeper (2+2),18:30,04h 20m,22:50,
387,Greenline (Karunamoyee),INR 486,4.3,,Scania Multi-Axle AC Semi Sleeper (2+2),07:00,03h 15m,10:15,
388,Greenline (Karunamoyee),INR 486,4.2,,Volvo A/C Seater (2+2),15:30,04h 00m,19:30,
389,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.2,,Volvo A/C Seater (2+2),12:30,04h 00m,16:30,
390,Shyamoli Paribahan Pvt Ltd,INR 486,4.2,,Volvo A/C Seater (2+2),14:10,03h 50m,18:00,
391,Shyamoli Paribahan Pvt Ltd,INR 486,4.2,,Volvo A/C Seater (2+2),15:30,03h 50m,19:20,
392,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,4.1,,Volvo A/C Seater (2+2),16:45,04h 00m,20:45,
393,Greenline (Karunamoyee),INR 486,4.1,,Volvo A/C Seater (2+2),17:30,03h 50m,21:20,
394,Greenline (Karunamoyee),INR 486,4.1,,Volvo A/C Seater (2+2),13:10,04h 00m,17:10,
395,Greenline,INR 486,4.1,,Volvo A/C Seater (2+2),16:00,03h 50m,19:50,
396,Shyamoli Paribahan Pvt Ltd,INR 486,4.1,,Volvo A/C Seater (2+2),09:30,04h 00m,13:30,
397,Greenline,INR 486,4.0,,Volvo A/C Seater (2+2),11:30,04h 00m,15:30,
398,Shyamoli Paribahan Pvt Ltd,INR 486,4.0,,Volvo A/C Seater (2+2),16:30,04h 00m,20:30,
399,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,3.8,,Volvo A/C Seater (2+2),07:25,27h 15m,10:40,
400,Greenline,INR 486,3.9,,Volvo A/C Seater (2+2),14:50,04h 00m,18:50,
401,Shyamoli Paribahan Pvt Ltd,INR 486,4.1,,Volvo A/C Seater (2+2),07:30,03h 15m,10:45,
402,Shyamoli Paribahan Pvt Ltd,INR 486,4.3,,Volvo A/C Seater (2+2),08:00,03h 30m,11:30,
403,Greenline,INR 486,3.7,,Volvo A/C Seater (2+2),17:10,03h 50m,21:00,
404,Greenline,INR 486,4.3,,Volvo A/C Seater (2+2),13:30,03h 50m,17:20,
405,Express Line (Karunamoyee),INR 486,5.0,,Volvo 9600 A/C Semi Sleeper (2+2),08:30,04h 00m,12:30,
406,Shyamoli Paribahan Pvt Ltd,INR 486,3.5,,Volvo A/C Seater (2+2),18:15,03h 45m,22:00,
407,SHYAMOLI Pvt. Ltd.(Karunamoyee),INR 486,3.8,,Volvo B11R Multi Axle Seater (2+2),11:00,04h 00m,15:00,
408,Express Line (Karunamoyee),INR 486,4.0,,Volvo A/C Seater (2+2),16:20,28h 05m,20:25,
409,Shyamoli Paribahan Pvt Ltd,INR 486,3.2,,Volvo B11R Multi Axle Seater (2+2),11:00,04h 00m,15:00,
410,Express Line,INR 486,4.6,,Scania Multi-Axle AC Semi Sleeper (2+2),14:30,04h 00m,18:30,
411,SBSTC-DURGAPUR - DIGHA - VIA - MIDNAPUR - 2/2 - 20:00 (D - 3807,INR 238,4.1,8 Seats available,Non AC Seater (2+2),20:00,08h 45m,04:45,DURGAPUR CITY CENTER
412,New Eureka Travels,INR 600,2.6,32 Seats available,A/C Seater / Sleeper (2+2),21:15,07h 45m,05:00,City Center Durgapur
413,Express Line,INR 499,4.5,14 Seats available,Volvo A/C Seater (2+2),10:25,04h 55m,15:20,Bus Stand
414,Express Line,INR 349,4.6,45 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2),13:45,04h 30m,18:15,Bus Stand
415,Greenline,INR 400,4.4,26 Seats available,Volvo A/C Seater (2+2),13:40,04h 45m,18:25,Bus Stand
