,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
248,Laxmi holidays,570,4.4,33 Seats available,Bharat Benz A/C Sleeper (2+1),23:35,06h 55m,06:30,Lovely Professional University
249,New Navyug Travels,608,4.2,36 Seats available,A/C Sleeper (2+1),22:00,07h 30m,05:30,Phagwara Bus Stand
250,IntrCity SmartBus,INR 610,4.4,18 Seats available,AC Sleeper (2+1),21:55,07h 50m,05:45,Lovely Professional Universit...
251,NueGo,523,3.8,37 Seats available,Electric A/C Seater/Sleeper (2+1),23:25,08h 00m,07:25,LPU University
252,IntrCity SmartBus,390,4.4,20 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:05,07h 40m,06:45,Lovely Professional Universit...
253,Muskan Tour And Travels private Limited,600,3.8,31 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:55,06h 00m,05:55,Phagwara
254,IntrCity SmartBus,INR 570,3.9,19 Seats available,A/C Seater / Sleeper (2+1),21:55,08h 25m,06:20,Lovely Professional Universit...
255,IntrCity SmartBus,433,4.2,29 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:59,06h 46m,06:45,"Canara Bank, Sondhi Chowk"
256,IntrCity SmartBus,INR 627,4.1,28 Seats available,A/C Seater / Sleeper (2+1),22:35,07h 25m,06:00,Lovely Professional Universit...
257,IntrCity SmartBus,INR 463,3.8,23 Seats available,A/C Seater / Sleeper (2+1),22:45,07h 15m,06:00,Lovely Professional Universit...
258,Golden Temple Express Volvo,499,3.2,28 Seats available,A/C Seater / Sleeper (2+2),22:45,06h 35m,05:20,Near Bus Stand
259,Vijay Tour and Travels,INR 800,2.5,32 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),17:00,06h 50m,23:50,Phagwara
260,ADTC tour and Travels,INR 600,3.3,32 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:55,06h 15m,05:10,LPU University Gate
261,Khurana Bus Service,849,2.4,22 Seats available,Volvo A/C (2+2),18:55,07h 45m,02:40,Near Bus Stand
262,Golden Temple Express Volvo,499,2.0,8 Seats available,A/C Seater / Sleeper (2+2),23:55,06h 55m,06:50,Near Bus Stand
263,India Tours & Travels (GetBookCab),INR 499,3.8,22 Seats available,A/C Semi Sleeper / Sleeper (2+2),00:30,06h 00m,06:30,Near Bus Stand
264,Golden Temple Express Volvo,649,3.7,36 Seats available,A/C Seater / Sleeper (2+2),22:40,06h 40m,05:20,Near Bus Stand
265,Prince Travels,INR 1099,3.2,34 Seats available,A/C Seater / Sleeper (2+2),23:55,06h 05m,06:00,Lovely Professional Universit...
266,Golden Temple Express Volvo,549,2.3,35 Seats available,A/C Seater / Sleeper (2+2),23:57,06h 33m,06:30,Near Bus Stand
267,IntrCity SmartBus,INR 465,4.4,39 Seats available,VE A/C Seater / Sleeper (2+1),23:40,07h 00m,06:40,Phagwara
268,India Tours & Travels (GetBookCab),INR 499,3.8,31 Seats available,A/C Seater / Sleeper (2+2),00:15,05h 45m,06:00,Near Bus Stand
269,Khurana Bus Service,INR 549,2.4,20 Seats available,Bharat Benz A/C Semi Sleeper (2+2),14:50,06h 40m,21:30,Lovely Professional University
270,Golden Temple Express Volvo,549,3.7,38 Seats available,A/C Seater / Sleeper (2+2),23:55,06h 55m,06:50,
271,ADTC tour and Travels,INR 550,3.3,39 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:35,05h 40m,05:15,
272,SHREE SATGURU TRAVELS,INR 599,2.8,,A/C Seater / Sleeper (2+2),23:58,06h 02m,06:00,
273,Armaan Tour & Travels,624,2.4,,A/C Seater / Sleeper (2+1),21:20,08h 40m,06:00,
274,PEPSU (Punjab) - 67101,INR 440,3.0,39 Seats available,AC Seater Hvac 2+2,15:25,05h 01m,20:26,Counter no 23 New Bus stand P...
275,PEPSU (Punjab) - 67142,INR 692,4.0,,Volvo AC Seater (2+2),16:00,05h 25m,21:25,
276,PEPSU (Punjab) - 66687,INR 692,3.6,,Volvo AC Seater (2+2),18:10,05h 25m,23:35,
