,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
335,Sea Bird Tourist,INR 900,3.3,25 Seats available,A/C Sleeper (2+1),20:30,13h 00m,09:30,Panjim
336,Sugama Tourist,INR 950,3.6,25 Seats available,NON A/C Sleeper (2+1),19:45,12h 00m,07:45,Margoa Kadamba Bus Stand
337,Sea Bird Tourist,INR 700,3.2,22 Seats available,NON A/C Sleeper (2+1),18:30,13h 30m,08:30,Panjim
338,Bharathi Travels,INR 1199,3.1,23 Seats available,A/C Sleeper (2+1),18:00,14h 00m,07:00,Panjim
339,SRS Travels,INR 699,3.0,30 Seats available,NON AC Seater / Sleeper 2+1,19:00,12h 30m,07:30,Madgaon
340,SPR Tours And Travels,INR 750,3.1,20 Seats available,NON A/C Sleeper (1+2),19:30,13h 30m,08:40,Paulo Bus Terminal Panjim
341,SRS Travels,INR 699,2.8,30 Seats available,NON AC Seater / Sleeper 2+1,18:00,13h 30m,07:30,Panjim
342,Anand Travels,INR 760,2.6,25 Seats available,NON A/C Sleeper (2+1),18:30,11h 30m,06:45,Panjim
343,Sea Bird Tourist,INR 700,3.1,24 Seats available,NON A/C Sleeper (2+1),17:30,13h 30m,07:30,Panjim
344,Sugama Tourist,INR 950,4.5,25 Seats available,NON A/C Sleeper (2+1),18:00,13h 45m,07:45,Interstate Private Bus Parkin...
345,Bharathi Travels,INR 990,2.2,36 Seats available,A/C Sleeper (2+1),18:30,14h 00m,07:30,Panjim
346,Sea Bird Tourist,INR 700,3.1,34 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),21:00,13h 10m,09:00,Panjim
347,Reshma Travels,INR 750,3.2,28 Seats available,NON A/C Sleeper (2+1),18:30,12h 30m,06:35,Panjim
348,Sugama Tourist,INR 950,3.8,25 Seats available,NON A/C Sleeper (2+1),19:00,12h 45m,07:45,Panjim
349,Kukkeshree Travels,INR 999,2.9,25 Seats available,A/C Sleeper (2+1),19:00,12h 30m,08:00,Panjim
350,Kukkeshree Travels,INR 999,2.4,22 Seats available,A/C Sleeper (2+1),18:30,12h 30m,07:00,Panjim
351,Sea Bird Tourist,INR 750,2.7,37 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),19:00,12h 30m,07:30,Panjim
352,Sea Bird Tourist,INR 900,1.9,22 Seats available,A/C Sleeper (2+1),17:00,13h 00m,06:00,Panjim
353,Om Sri Tours and Travels,1387,2.4,24 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),21:00,11h 00m,08:00,Panjim
354,VRL Travels,INR 800,4.6,24 Seats available,NON A/C Sleeper (2+1),18:00,14h 00m,08:00,Panjim
355,VRL Travels,INR 700,2.2,26 Seats available,A/C Seater / Sleeper (2+1),19:00,14h 00m,09:00,Panjim
356,VRL Travels,INR 900,2.7,24 Seats available,A/C Sleeper (2+1),20:00,14h 00m,10:00,Panjim
357,Kadamba Transport Corporation Limited (KTCL) - 132897,INR 450,2.3,38 Seats available,Non AC Seater (2+2),23:00,09h 00m,08:00,KSRTC BUS STAND
358,Sea Bird Tourist,INR 700,4.1,27 Seats available,NON A/C Sleeper (2+1),23:45,08h 15m,08:00,Shimoga
