,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
391,NueGo,332,3.9,20 Seats available,Electric A/C Seater (2+2),17:00,04h 35m,21:35,Yamuna Expressway
392,NueGo,299,3.9,7 Seats available,Electric A/C Seater (2+2),18:00,04h 35m,22:35,Agara
393,NueGo,332,3.5,38 Seats available,Electric A/C Seater (2+2),19:00,04h 35m,23:35,Bhagwan Takij
394,NueGo,332,4.4,,Electric A/C Seater (2+2),21:00,04h 15m,01:15,
395,NueGo,332,4.5,,Electric A/C Seater (2+2),22:00,04h 15m,02:15,
396,NueGo,332,4.2,,Electric A/C Seater (2+2),23:55,04h 15m,04:10,
397,NueGo,332,2.7,,Electric A/C Seater (2+2),08:00,04h 30m,12:30,
398,Royal Star Travels,INR 331,1.0,,AC Seater (2+2),09:30,04h 30m,14:00,
399,Ashok tour and Travels,INR 335,2.3,,AC Seater (2+2),10:00,04h 30m,14:30,
400,AGRA TRAVELSENSE,INR 329,2.9,,AC Seater (2+2),10:00,04h 30m,14:30,
401,Taj Express Bus Service Pvt Ltd,INR 450,2.4,,Non AC Seater (2+2),10:00,03h 45m,13:45,
402,Ashok tour and Travels,INR 336,2.2,,AC Seater (2+2),11:30,04h 30m,16:00,
403,Taj Express Bus Service Pvt Ltd,INR 450,2.4,,Non AC Seater (2+2),11:59,03h 45m,15:44,
404,Ashok tour and Travels,INR 331,2.2,,AC Seater (2+2),13:15,04h 30m,17:45,
405,AGRA TRAVELSENSE,INR 449,2.3,,AC Seater (2+2),13:15,04h 00m,17:15,
406,Royal Star Travels,INR 299,1.0,,AC Seater (2+2),14:00,04h 00m,18:00,
407,Taj Express Bus Service Pvt Ltd,INR 450,2.4,,Non AC Seater (2+2),14:00,03h 45m,17:45,
408,Ashok tour and Travels,INR 336,2.3,,AC Seater (2+2),14:30,04h 30m,19:00,
409,Royal Star Travels,INR 399,1.0,,AC Seater (2+2),14:45,04h 00m,18:45,
410,AGRA TRAVELSENSE,INR 449,1.9,,AC Seater (2+2),15:30,03h 45m,19:15,
411,Taj Express Bus Service Pvt Ltd,INR 450,2.4,,Non AC Seater (2+2),16:00,03h 45m,19:45,
412,AGRA TRAVELSENSE,INR 500,1.6,,AC Seater (2+2),17:30,04h 30m,22:00,
413,NueGo,332,2.0,,Electric A/C Seater (2+2),17:30,04h 30m,22:00,
414,Taj Express Bus Service Pvt Ltd,INR 450,2.4,,Non AC Seater (2+2),18:00,03h 45m,21:45,
415,FlixBus,INR 186,3.5,,A/C Seater (2+2),13:30,05h 10m,18:40,
416,FlixBus,INR 312,3.8,,A/C Seater (2+2),15:35,04h 35m,20:10,
417,FlixBus,INR 186,3.9,,A/C Seater (2+2),17:00,05h 15m,22:15,
418,Raj Kalpana Travels Pvt.ltd.,INR 799,3.1,,Bharat Benz A/C Seater /Sleeper (2+1),17:30,03h 30m,21:00,
419,PTC-SKYBUS,INR 599,3.2,,VE A/C Seater / Sleeper (2+1),17:40,03h 35m,21:15,
420,Raj Kalpana Travels Pvt.ltd.,INR 699,3.5,,VE A/C Seater (2+2),18:00,03h 30m,21:30,
421,Gola Bus Service,INR 899,3.8,,VE A/C Seater / Sleeper (2+1),18:00,02h 30m,20:30,
422,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 1199,3.8,,VE A/C Seater / Sleeper (2+1),21:20,03h 50m,01:10,
423,Vijay Tour and Travels,INR 1100,3.2,,AC Sleeper (2+1),21:50,03h 30m,01:20,
424,Mahalaxmi Travels,INR 1299,3.0,,Bharat Benz A/C Seater /Sleeper (2+1),22:15,03h 30m,01:45,
425,PTC-SKYBUS,INR 999,3.2,,VE A/C Seater / Sleeper (2+1),22:50,03h 25m,02:15,
426,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 1299,2.8,,A/C Sleeper (2+2),23:55,03h 35m,03:30,
427,KN Nehra Travels,INR 999,1.4,,A/C Seater / Sleeper (2+1),23:55,03h 35m,03:30,
428,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 1249,1.8,,A/C Seater/Sleeper (2+1),23:59,03h 31m,03:30,
429,SAFAR EXPRESS PVT LTD,INR 699,1.9,,A/C Seater / Sleeper (2+1),15:35,03h 45m,19:20,
430,RAO SAHAB TRAVELS PRIVATE LIMITED,INR 1199,,,A/C Seater / Sleeper (2+1),16:15,03h 15m,19:30,
431,SAFAR EXPRESS PVT LTD,INR 699,,,A/C Seater / Sleeper (2+1),18:21,03h 29m,21:50,
432,DIVYANSHU TRAVELS,854,,,A/C Sleeper (2+2),23:05,05h 00m,04:05,
433,RSRTC - 192993,INR 891,2.1,20 Seats available,A/C Seater / Sleeper (2+1),23:30,04h 50m,04:20,AGRA ISBT
434,Raj Kalpana Travels Pvt.ltd.,INR 649,4.3,40 Seats available,VE A/C Seater (2+2),14:30,04h 00m,18:30,Toll Plaza Expressway Agra n...
435,Laxmi holidays,684,4.6,45 Seats available,VE A/C Seater / Sleeper (2+1),23:40,04h 40m,04:20,Toll Plaza Expressway Agra n...
436,Laxmi holidays,855,4.3,21 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05h 05m,05:00,Near Shiromani hospital opp. ...
437,BT Travels,INR 749,4.2,21 Seats available,VE A/C Seater / Sleeper (2+1),15:20,03h 50m,19:10,IDGAH BUS STAND
438,Goyal Travels,INR 800,3.3,25 Seats available,A/C Seater / Sleeper (2+1),19:00,05h 40m,00:40,GHODA CHOWK PARTAPUR
439,Anshi Rajshree Travels,INR 899,4.6,21 Seats available,Bharat Benz A/C Sleeper (2+1),01:00,05h 50m,06:50,GHODA CHOWK PARTAPUR
440,Anshi Raj Shree Travels,INR 899,3.9,40 Seats available,Bharat Benz A/C Sleeper (2+1),19:00,04h 59m,23:59,GHODA CHOWK PARTAPUR
441,Sethi Yatra Company,INR 700,3.7,18 Seats available,A/C Seater/Sleeper (2+1),23:30,04h 50m,04:20,Agra Toll Plaza
442,Anshi Raj Shree Travels,INR 899,4.0,26 Seats available,Bharat Benz A/C Sleeper (2+1),23:59,05h 16m,05:15,Shrinath Travels Imperial Hot...
443,Anshi Raj Shree Travels,INR 799,3.6,25 Seats available,A/C Seater / Sleeper (2+1),23:15,05h 00m,04:15,GHODA CHOWK PARTAPUR
444,Anshi Raj Shree Travels,INR 899,4.3,27 Seats available,Bharat Benz A/C Sleeper (2+1),20:15,05h 05m,01:20,Toll Plaza Expressway Agra n...
445,IntrCity SmartBus,INR 939,4.1,49 Seats available,A/C Seater / Sleeper (2+1),23:55,04h 40m,04:35,Toll Plaza Expressway Agra n...
446,Mahalaxmi Travels,INR 699,3.2,26 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:30,04h 30m,04:00,Yamuna expressway rahan kalan...
447,Anshi Raj Shree Travels,INR 799,4.2,30 Seats available,Bharat Benz A/C Sleeper (2+1),21:15,05h 15m,02:30,Kuberpur toll tax
448,Laxmi holidays,760,4.1,33 Seats available,VE A/C Seater / Sleeper (2+2),22:50,04h 00m,02:50,Agra A.K Family Restaurant
449,Laxmi holidays,760,3.4,35 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:30,04h 20m,01:50,Opp Ramada Hotel
450,R S YADAV SMART BUS PRIVATE LIMITED,INR 1099,4.3,24 Seats available,VE A/C Seater / Sleeper (2+1),23:35,05h 20m,04:55,Agra A.K Family Restaurant
451,GK Travels,INR 699,3.3,29 Seats available,A/C Seater/Sleeper (2+1),23:30,07h 00m,06:30,Agara
452,Raj Kalpana Travels Pvt.ltd.,INR 900,3.4,30 Seats available,A/C Seater/Sleeper (2+1),23:30,03h 45m,03:15,Agra Bypass Rd Kuberpur Bypass
453,Sethi Yatra Company,INR 710,2.4,20 Seats available,A/C Seater / Sleeper (2+1),21:20,04h 25m,01:45,Agra Bypass Rd Kuberpur Bypass
454,Raj Kalpana Travels Pvt.Ltd,INR 1600,2.7,32 Seats available,A/C Sleeper (2+1),21:15,03h 35m,00:50,Agra Bypass Rd Kuberpur Bypass
455,Shakmbhari Travels,INR 794,1.9,33 Seats available,A/C Seater / Sleeper (2+1),23:45,05h 15m,05:00,Agra Bypass Rd Kuberpur Bypass
456,Gola Bus Service,INR 839,4.5,34 Seats available,A/C Seater/Sleeper (2+1),23:30,05h 15m,04:45,Agra Bypass Rd Kuberpur Bypass
457,Gola Bus Service,INR 999,4.5,11 Seats available,VE A/C Seater / Sleeper (2+1),22:00,04h 10m,02:10,Agra Bypass Rd Kuberpur Bypass
458,Gola Bus Service,INR 999,4.5,28 Seats available,A/C Seater/Sleeper (2+1),22:00,05h 15m,03:15,Agra Bypass Rd Kuberpur Bypass
459,Gola Bus Service,INR 999,4.5,30 Seats available,VE A/C Seater / Sleeper (2+1),23:00,05h 15m,04:15,NAMNER CHORAHA
460,Gola Bus Service,INR 999,4.5,30 Seats available,A/C Seater/Sleeper (2+1),23:00,04h 10m,03:10,Agra (Kuberpur Cut)
461,Gola Bus Service,INR 1299,4.5,14 Seats available,VE A/C Sleeper (2+1),21:00,04h 10m,01:10,Agra (Kuberpur Cut)
462,Gola Bus Service,INR 799,4.5,12 Seats available,VE A/C Seater / Sleeper (2+1),23:55,05h 05m,05:00,Agra Toll Plaza
463,Metro Travels,INR 1249,4.3,28 Seats available,A/C Sleeper (2+1),23:45,04h 15m,04:00,Yamuna expressway rahan kalan...
464,FlixBus,INR 619,4.3,38 Seats available,A/C Sleeper (2+1),22:55,05h 10m,04:05,Agra Toll Plaza
465,FlixBus,INR 865,4.3,29 Seats available,A/C Sleeper (2+1),23:40,04h 30m,04:10,Agra Toll Plaza
466,FlixBus,INR 369,4.3,33 Seats available,A/C Seater (2+2),15:45,04h 25m,20:10,"G s plaza essar petrol pump,..."
467,IntrCity SmartBus,INR 889,4.3,31 Seats available,A/C Seater / Sleeper (2+1),22:35,04h 30m,03:05,Kuberpur
468,R S YADAV SMART BUS PRIVATE LIMITED,INR 999,4.3,21 Seats available,VE A/C Seater / Sleeper (2+1),23:25,05h 05m,04:30,"G s plaza essar petrol pump,..."
469,IntrCity SmartBus,INR 771,4.3,60 Seats available,A/C Seater / Sleeper (2+1),22:10,05h 10m,03:20,Agra near kuberpur on Yamuna ...
470,IntrCity SmartBus,INR 835,4.3,40 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:55,04h 55m,03:50,Toll Plaza Expressway Agra n...
