,Starting_names,Reaching_names,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point,Ratings_range,Bus_fare_range,Bus_category,AC_Type,Seat_Type,Starting_time_interval,Ending_time_interval,Route
2910,Hyderabad,Vijayawada,Orange Tours And Travels,500.0,4.4,27 Seats available,NON A/C Seater/ Sleeper (2+1),18:00,08h 15m,02:15,Ecil,4 to 5,others,AC Sleeper,Non A/C,Sleeper,18:00 - 19:00,02:00 - 03:00,Hyderabad to Vijayawada
2911,Hyderabad,Vijayawada,Orange Tours And Travels,580.0,4.3,13 Seats available,A/C Seater / Sleeper (2+1),16:10,08h 20m,00:30,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,16:00 - 17:00,00:00 - 01:00,Hyderabad to Vijayawada
2912,Hyderabad,Vijayawada,Jagan Travels,568.0,4.3,28 Seats available,Non A/C Seater / Sleeper (2+1),15:50,06h 10m,22:00,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,22:00 - 23:00,Hyderabad to Vijayawada
2913,Hyderabad,Vijayawada,Orange Tours And Travels,500.0,4.3,8 Seats available,NON A/C Seater/ Sleeper (2+1),19:45,07h 45m,03:30,Kukatpally,4 to 5,others,AC Sleeper,Non A/C,Sleeper,19:00 - 20:00,03:00 - 04:00,Hyderabad to Vijayawada
2914,Hyderabad,Vijayawada,Sai Dasari Travels,500.0,4.3,28 Seats available,Non A/C Seater / Sleeper (2+1),23:05,05h 25m,04:27,Suraram,4 to 5,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,04:00 - 05:00,Hyderabad to Vijayawada
2915,Hyderabad,Vijayawada,Neelachal Travels,700.0,4.1,14 Seats available,A/C Seater / Sleeper (2+1),15:50,06h 55m,22:45,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,22:00 - 23:00,Hyderabad to Vijayawada
2916,Hyderabad,Vijayawada,Svkdt travels,1049.0,4.1,19 Seats available,A/C Sleeper (2+1),17:00,09h 10m,02:05,Kukatpally,4 to 5,1000 to 3000,AC Sleeper,A/C,Sleeper,17:00 - 18:00,02:00 - 03:00,Hyderabad to Vijayawada
2917,Hyderabad,Vijayawada,Prasanna Travels,500.0,4.1,30 Seats available,A/C Seater / Sleeper (2+1),23:55,06h 20m,06:15,Kukatpally,4 to 5,others,AC Sleeper,A/C,Sleeper,23:00 - 00:00,06:00 - 07:00,Hyderabad to Vijayawada
2918,Hyderabad,Vijayawada,BSR Tours And Travels,1470.0,4.1,27 Seats available,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:02,07h 58m,01:05,Kukatpally,4 to 5,1000 to 3000,AC Sleeper,A/C,Sleeper,17:00 - 18:00,01:00 - 02:00,Hyderabad to Vijayawada
2919,Hyderabad,Vijayawada,BSR Tours And Travels,610.0,4.1,21 Seats available,A/C Seater / Sleeper (2+1),18:00,08h 30m,02:30,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,18:00 - 19:00,02:00 - 03:00,Hyderabad to Vijayawada
2920,Hyderabad,Vijayawada,BSR Tours And Travels,610.0,3.4,34 Seats available,A/C Seater / Sleeper (2+1),22:00,06h 00m,04:10,Patancheru,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2921,Hyderabad,Vijayawada,Shyamoli Paribahan Pvt Ltd,999.0,4.0,42 Seats available,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07h 00m,01:30,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,18:00 - 19:00,01:00 - 02:00,Hyderabad to Vijayawada
2922,Hyderabad,Vijayawada,GMC Travels,680.0,4.0,21 Seats available,A/C Seater / Sleeper (2+1),22:00,05h 30m,03:30,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,03:00 - 04:00,Hyderabad to Vijayawada
