,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
967,Jain travels regd,INR 400,3.4,32 Seats available,NON AC Seater / Sleeper 2+1,22:15,04h 20m,02:35,Rawan Ka Chabutra-
968,Pooja Paraswnath Travels,INR 400,3.9,31 Seats available,NON AC Seater / Sleeper 2+1,22:15,04h 30m,02:45,Shree Gajraj Travels Near Dal...
969,Jain travels regd,INR 500,3.3,34 Seats available,A/C Seater / Sleeper (2+1),22:30,02h 55m,01:25,Shree Gajraj Travels Near Dal...
970,Shre Ganesh Travels,INR 500,3.8,30 Seats available,A/C Seater / Sleeper (2+1),22:45,03h 30m,02:15,Paota sabji mandi
971,M R Travels,INR 500,3.8,34 Seats available,A/C Seater / Sleeper (2+1),22:45,03h 00m,01:45,Mahadev travels opp. Jaswant ...
972,Jakhar Travels,INR 410,3.3,40 Seats available,A/C Seater / Sleeper (2+1),23:00,03h 30m,02:30,Tiger Travels Maan Ji Ka Hath...
973,Bhagwati Travels and Tours,INR 400,3.0,38 Seats available,A/C Seater/Sleeper (2+1),23:30,03h 30m,03:00,"BORANADA, JODHPUR"
974,Shri Ganesh Travels,INR 450,3.5,42 Seats available,A/C Seater / Sleeper (2+1),23:55,03h 50m,03:45,Jaipur road - check post
975,Jakhar Travels And Cargo,INR 450,2.3,32 Seats available,A/C Seater / Sleeper (2+1),23:59,03h 31m,03:30,SHRI VISHWAKARMA TRAVELS PAL ...
976,Laxmi traveller,INR 300,2.6,41 Seats available,NON A/C Seater/ Sleeper (2+1),09:30,04h 15m,13:45,ashok udhyan
977,Om Travels,INR 450,2.3,35 Seats available,NON AC Seater / Sleeper 2+1,18:00,04h 10m,22:10,Ashok udhyan pal road
978,RR Travels,380,2.9,,A/C Seater / Sleeper (2+1),18:55,04h 45m,23:40,
979,Salasar Vaishnav Travels,INR 400,2.6,,NON AC Seater / Sleeper 2+1,19:35,03h 55m,23:30,
980,Jai Shankar Travels,INR 450,2.6,,Non A/C Seater / Sleeper (2+1),20:10,04h 20m,00:30,
981,Jai Shankar Travels,INR 500,2.6,,NON A/C Seater/ Sleeper (2+1),20:30,03h 45m,00:15,
982,Om Travels,INR 450,2.9,,NON AC Seater / Sleeper 2+1,21:15,03h 55m,01:10,
983,Gorsiya Travels,INR 400,2.9,,Bharat Benz A/C Seater /Sleeper (2+1),21:16,04h 00m,01:16,
984,Kalpana Travels Pvt. Ltd.,INR 400,2.3,,NON AC Seater / Sleeper 2+1,21:30,03h 30m,01:00,
985,Laxmi traveller,INR 330,2.9,,NON A/C Seater/ Sleeper (2+1),21:50,03h 30m,01:20,
986,Kalpana Travels Pvt. Ltd.,INR 400,2.6,,NON AC Seater / Sleeper 2+1,22:00,02h 45m,00:45,
987,Om Travels,INR 400,2.3,,NON AC Seater / Sleeper 2+1,22:00,03h 00m,01:00,
988,Laxmi traveller,INR 430,3.5,,A/C Seater / Sleeper (2+1),22:05,03h 25m,01:30,
989,Chouhan Tour and Travel,INR 675,3.5,,A/C Seater / Sleeper (2+2),00:40,02h 10m,02:50,
990,Chouhan Tour and Travel,INR 650,3.5,,A/C Seater / Sleeper (2+2),01:10,02h 10m,03:20,
991,B S MAHARAJA TRAVELS,INR 800,3.6,,Bharat Benz A/C Seater /Sleeper (2+1),01:30,02h 30m,04:00,
992,R.S.Sodha Travels,INR 610,4.2,,A/C Seater / Sleeper (2+1),01:45,02h 30m,04:15,
993,Mahadev Travels(pipar),INR 1714.29,3.3,,AC Sleeper (2+1),13:05,03h 21m,16:26,
994,Mahadev Travels(pipar),INR 1714.29,3.4,,AC Sleeper (2+1),13:25,03h 45m,17:10,
995,Pooja Paraswnath Travels,INR 1300,3.4,,NON A/C Sleeper (2+1),13:30,03h 35m,17:05,
996,Pooja Paraswnath Travels,INR 1571.43,3.8,,AC Sleeper (2+1),13:35,02h 35m,16:10,
997,Chanakya Travels Agency,INR 1200,3.9,,A/C Seater / Sleeper (2+1),14:00,04h 15m,18:15,
998,Jain travels regd,INR 530,4.0,,AC Sleeper (2+1),14:00,03h 20m,17:20,
999,SHRI GANESH TRAVELLS BARMER,INR 1200,3.7,,A/C Seater / Sleeper (2+1),14:00,03h 00m,17:00,
1000,Shri Charbhuja Travels (A Unit Of Bala Agri..),INR 1160,3.3,,A/C Seater / Sleeper (2+1),14:09,03h 54m,18:03,
1001,Shre Ganesh Travels,INR 800,3.8,,A/C Seater / Sleeper (2+1),14:30,03h 00m,17:30,
1002,M R Travels,INR 550,3.9,,A/C Seater / Sleeper (2+1),14:30,03h 40m,18:10,
1003,Jain travels regd,INR 1000,3.9,,NON AC Seater / Sleeper 2+1,14:30,03h 06m,17:36,
1004,Jain travels regd,INR 1600,3.4,,AC Sleeper (2+1),15:00,03h 15m,18:15,
1005,Western Bus,INR 1600,3.5,,VE A/C Sleeper (2+1),15:30,03h 30m,19:00,
1006,SHRI VISHWAKARMA TRAVELS (KETU),INR 1500,3.0,,NON A/C Seater / Sleeper (3+1),16:30,04h 30m,21:00,
1007,bhaiya travels,INR 855,3.1,,NON A/C Sleeper (2+1),17:00,04h 10m,21:10,
1008,V k jain travels,INR 850,3.9,,A/C Seater / Sleeper (2+1),18:15,04h 05m,22:20,
1009,Jain travels regd,INR 750,4.4,,NON AC Seater / Sleeper 2+1,19:00,03h 21m,22:21,
