,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
60,UFO Bus,630,4.0,22 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:40,03h 05m,02:45,
61,LIYAS TOURS,1149,4.0,32 Seats available,Bharat Benz A/C Sleeper (2+1),23:47,04h 08m,03:55,
62,UFO Bus,603,4.0,41 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,02h 45m,02:40,
63,Cochin Express,INR 700,4.0,36 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:30,02h 50m,02:20,
64,Kalpaka Travels 1,INR 800,4.0,,A/C Sleeper (2+1),23:40,02h 50m,02:30,
65,Arya Travels,INR 595,3.1,,Volvo A/C Semi Sleeper (2+2),23:59,03h 31m,03:30,
66,Arya Travels,INR 645,3.1,,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:59,03h 12m,03:11,
67,EMERALD TRAVELS,INR 700,3.1,,Bharat Benz A/C Semi Sleeper (2+2),02:30,02h 00m,04:30,
68,Shama Transport,INR 850,,,VE A/C Sleeper (2+1),21:05,02h 50m,23:55,
69,A1 Travels,INR 700,2.5,39 Seats available,A/C Seater / Sleeper (2+1),20:05,06h 55m,03:00,Calicut
70,Ubc travels,INR 900,3.9,32 Seats available,A/C Seater/Sleeper (2+1),01:45,06h 15m,08:00,Kozhikode
71,Ubc travels,INR 700,3.9,35 Seats available,A/C Semi Sleeper (2+2),00:25,07h 25m,07:50,Kozhikode
72,Sonia Travels,INR 750,3.8,,A/C Seater/Sleeper (2+1),23:30,06h 55m,06:25,
73,EMERALD TRAVELS,INR 800,3.2,,Bharat Benz A/C Semi Sleeper (2+2),21:55,05h 35m,03:30,
74,Holy Maria Travels,INR 800,2.9,,A/C Semi Sleeper (2+2),00:10,06h 40m,06:50,
75,KSRTC (Kerala) - 900,INR 103,3.6,37 Seats available,SUPER DELUXE AIR BUS,11:00,03h 15m,14:15,"Thiruvalluvar b s, gandhipuram"
76,KSRTC (Kerala) - 808,INR 103,4.2,,Super Fast Non AC Seater (2+3),21:00,03h 25m,00:25,
77,KSRTC (Kerala) - 966,INR 103,2.6,,SUPER DELUXE AIR BUS,19:00,02h 30m,21:30,
78,Kyros Connect,INR 799,4.3,19 Seats available,Bharat Benz A/C Semi Sleeper (2+2),13:55,07h 05m,21:00,Kalpetta
79,MMK Travels,INR 850,4.4,17 Seats available,VE A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,Vythiri
80,DLT BUS,INR 899,4.0,23 Seats available,A/C Sleeper (2+1),23:45,06h 45m,06:30,Kalpetta
81,Silver Line Travels,INR 599,4.3,19 Seats available,NON A/C Semi Sleeper (2+2),22:45,07h 00m,05:45,KALPETTA
82,CHANCHALAS TOURS AND TRAVELS,759,4.6,21 Seats available,A/C Semi Sleeper (2+2),17:30,06h 10m,23:40,Vythiri
83,Kyros Connect,INR 799,3.7,20 Seats available,Bharat Benz A/C Semi Sleeper (2+2),13:57,07h 03m,21:00,KALPETTA
84,MMK Travels,INR 850,4.6,23 Seats available,VE A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,Kalpetta
85,SURAJ TRAVEL HOUSE,INR 700,3.8,25 Seats available,VE A/C Seater / Sleeper (2+1),22:30,07h 30m,06:00,kalpatta
86,Deer Bus LLP,INR 700,3.9,25 Seats available,VE A/C Semi Sleeper (2+2),10:00,07h 00m,17:00,Wayanad
87,Suraj Holidays,INR 950,3.8,25 Seats available,VE A/C Sleeper (2+1),23:58,07h 17m,07:15,Kalpetta
88,P K Travels,INR 1100,4.0,16 Seats available,A/C Sleeper (2+1),23:35,06h 55m,06:30,Kalpetta
89,DA Transports,INR 849,3.5,15 Seats available,A/C Sleeper (2+1),23:50,06h 55m,06:45,Kalpetta
90,CHANCHALAS TOURS AND TRAVELS,INR 799,3.9,28 Seats available,A/C Semi Sleeper (2+2),17:35,06h 05m,23:40,KALPETTA
91,SKS Tourist Corporation (REGD),INR 999,3.5,17 Seats available,A/C Sleeper (2+1),23:50,06h 40m,06:30,Kalpetta
92,DA Transports,INR 849,4.6,25 Seats available,A/C Sleeper (2+1),23:50,06h 55m,06:45,Vythiri
93,Kallada Travels (Suresh Kallada),INR 899,3.5,17 Seats available,A/C Sleeper (2+1),23:30,07h 45m,07:15,Kalpetta
94,DLT BUS,INR 899,5.0,,A/C Sleeper (2+1),23:59,06h 31m,06:30,
95,Suraj Holidays,INR 950,3.2,,VE A/C Sleeper (2+1),23:59,07h 16m,07:15,
96,SURAJ TRAVEL HOUSE,665,3.2,,VE A/C Seater / Sleeper (2+1),23:00,07h 00m,06:00,
97,Kyros Connect,INR 555,2.7,,A/C Semi Sleeper (2+2),17:05,06h 10m,23:15,
98,Kyros Connect,INR 555,2.9,,A/C Semi Sleeper (2+2),17:00,06h 15m,23:15,
99,A1 Travels,INR 700,2.4,,NON AC Seater / Sleeper 2+1,23:10,07h 20m,06:30,
100,Orange Tours And Travels,INR 1800,3.1,,Bharat Benz A/C Sleeper (2+1),16:45,06h 45m,23:30,
101,Orange Tours And Travels,INR 1900,1.2,,Bharat Benz A/C Sleeper (2+1),16:30,07h 00m,23:30,
102,SKS Tourist Corporation (REGD),INR 999,1.9,,A/C Sleeper (2+1),23:55,06h 35m,06:30,
103,Bharathi Travels,INR 1290,3.0,,A/C Sleeper (2+1),17:20,06h 10m,23:30,
104,Bharathi Travels,INR 1290,,,A/C Sleeper (2+1),17:00,06h 30m,23:30,
105,RAVINA TRAVELS,INR 1199,,,A/C Sleeper (2+1),16:50,05h 40m,22:30,
106,MMK Travels,INR 800,4.4,15 Seats available,VE A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,Kalasipalyam
107,Silver Line Travels,INR 699,4.4,33 Seats available,NON A/C Semi Sleeper (2+2),19:45,10h 25m,06:10,Chandapura
108,NS Transports,INR 1100,4.4,12 Seats available,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,Kalasipalyam
109,AdDA Transports,INR 899,3.5,27 Seats available,A/C Sleeper (2+1),21:45,09h 15m,07:00,Madiwala
110,NS Transports,INR 800,4.3,21 Seats available,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,Kalasipalyam
111,DLT BUS,INR 1299,4.1,7 Seats available,A/C Sleeper (2+1),22:30,09h 00m,07:30,Madiwala
112,Suraj Holidays,INR 1100,4.0,17 Seats available,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,Madiwala
113,NS Transports,INR 800,4.1,15 Seats available,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,Kalasipalyam
114,Kyros Connect,INR 799,3.9,36 Seats available,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,Madiwala
115,Kallada Travels (Suresh Kallada),INR 899,4.0,6 Seats available,A/C Sleeper (2+1),22:00,09h 05m,07:05,Madiwala
116,P K Travels,INR 1149,4.0,18 Seats available,A/C Sleeper (2+1),21:30,09h 00m,06:30,Kalasipalyam
117,National travels and logistics,649,3.9,18 Seats available,NON A/C Sleeper (2+1),22:30,08h 00m,06:30,Kalasipalyam
118,SKS Tourist Corporation (REGD),INR 999,3.8,27 Seats available,A/C Sleeper (2+1),21:00,08h 30m,05:30,Kalasipalyam
119,P K Travels,INR 1100,3.6,24 Seats available,A/C Sleeper (2+1),21:45,08h 45m,06:30,Kalasipalyam
120,Suraj Holidays,INR 800,3.6,24 Seats available,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,Madiwala
121,A1 Travels,INR 550,3.6,35 Seats available,NON AC Seater / Sleeper 2+1,21:00,09h 45m,06:45,Madiwala
122,Kalpaka Travels,INR 800,3.7,28 Seats available,NON A/C Semi Sleeper (2+2),22:00,08h 30m,06:30,Kalasipalyam
123,SKS Tourist Corporation (Regd),INR 899,4.4,24 Seats available,A/C Sleeper (2+1),21:15,08h 31m,05:46,Kalasipalyam
124,Suraj Holidays,INR 900,3.3,22 Seats available,A/C Sleeper (2+1),22:00,08h 45m,06:45,Madiwala
125,SAAM BUS,924,3.8,24 Seats available,Bharat Benz A/C Sleeper (2+1),19:55,10h 50m,06:45,8th Mail Signal (Pickup Van/Bus)
126,SURAJ TRAVEL HOUSE,665,4.0,19 Seats available,VE A/C Seater / Sleeper (2+1),21:00,10h 30m,07:30,JAYANAGARA 4 BLOCK
127,Deer Bus LLP,INR 700,5.0,16 Seats available,VE A/C Semi Sleeper (2+2),08:00,09h 00m,17:00,Kalasipalyam
128,SRS Travels,INR 900,2.4,18 Seats available,A/C Sleeper (2+1),21:45,08h 55m,06:40,Madiwala
129,Deer Bus LLP,INR 700,4.5,36 Seats available,VE A/C Semi Sleeper (2+2),20:00,09h 15m,05:15,Madiwala
130,Orange Tours And Travels,INR 1200,2.6,40 Seats available,Bharat Benz A/C Sleeper (2+1),02:30,07h 30m,10:00,Madiwala
