,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
124,Maa Jagadamba,INR 250,4.7,44 Seats available,NON A/C Seater (2+3),15:40,03h 50m,19:30,Dibrugarh Amolapatty
125,Maa Jagadamba,INR 260,4.7,,A/C Seater Push Back (2+2),16:15,03h 15m,19:30,
126,Air Bus Travels,INR 400,3.1,,NON AC Seater / Sleeper 2+1,21:15,04h 45m,02:00,
127,Pankaj Travels(Under ASTC),INR 240,2.4,,NON A/C Hi-Tech Push Back (2+2),12:30,04h 40m,17:10,
128,Air Bus Travels,INR 400,,,NON AC Seater / Sleeper 2+1,19:40,05h 20m,01:00,
129,Assam State Transport Corporation (ASTC) - 154173,INR 523,3.5,15 Seats available,NON A/C Seater Push Back (2+1),07:30,09h 00m,16:30,Paltan Bazar
130,NETWORK TRAVELS,INR 700,4.5,29 Seats available,NON A/C Seater (2+1),18:30,12h 30m,07:00,ISBT Guwahati
131,Deep Travels,INR 650,3.6,,Non AC Seater (2+1),19:30,12h 30m,08:00,
132,Assam State Transport Corporation (ASTC) - 154173,INR 358,4.1,,NON A/C Seater Push Back (2+1),10:25,06h 05m,16:30,
133,Air Bus Travels,INR 500,3.9,44 Seats available,NON AC Seater / Sleeper 2+1,19:40,09h 20m,05:00,Dibrugarh Amolapatty
134,Assam State Transport Corporation (ASTC) - 173044,INR 170,3.7,,Non AC Seater (2+2),13:00,02h 30m,15:30,
135,Assam State Transport Corporation (ASTC) - 173420,INR 503,3.9,34 Seats available,Bharat Benz A/C Seater (2+2),08:30,06h 45m,15:15,Gohpur Bus Stand
136,Yatra Travels,450,4.5,19 Seats available,NON A/C Seater (2+1),09:00,08h 00m,17:00,GOHPUR BUS STAND
137,Pranjit Travels (Under ASTC),527,4.5,29 Seats available,NON A/C Seater (2+1),07:45,07h 15m,15:00,GOHPUR BUS STAND
138,Maharathi Travels(UNDER ASTC),400,4.1,34 Seats available,NON A/C Seater (2+1),22:10,07h 20m,05:30,Gohpur
139,KIRAN TRAVELS,510,4.2,37 Seats available,A/C Seater (2+1),22:50,08h 40m,07:30,GOHPUR BUS STAND
140,Chartered Bus - ASTC,INR 713.04,4.4,20 Seats available,Volvo AC Seater Pushback 2+2,09:30,06h 45m,16:15,Gohpur
141,KIRAN TRAVELS,468,4.2,37 Seats available,A/C Seater (2+1),09:30,08h 00m,17:30,Gohpur
142,Deep Travels,INR 499,4.1,41 Seats available,NON AC Seater / Sleeper 2+1,22:20,06h 40m,05:00,GOHPUR BUS STAND
143,DESTINY TRAVELS,INR 500,4.7,25 Seats available,NON A/C Seater (2+1),21:30,06h 15m,03:45,Gohpur Public Bus Stand
144,Pankaj Travels(Under ASTC),INR 500,3.7,24 Seats available,AC Seater (2+2),10:20,07h 30m,17:50,GOHPUR BUS STAND
145,Yatra Travels,400,4.4,28 Seats available,NON AC Seater/ Sleeper (2+1),22:20,07h 40m,06:00,Gohpur Bus Stand
146,Pranjit Travels (Under ASTC),INR 570,4.3,26 Seats available,NON A/C Seater (2+1),22:45,07h 30m,06:15,GOHPUR BUS STAND
